ViolationCode,ViolDescription
22-2-20,Burning solid waste  in open fires
22-2-22,Bulk solid waste deposited more than 24 hours before designated time
22-2-45,Violation of time limit for approved containers to remain at curbside - early or late
22-2-88(a),"Failure of owner to keep property, its sidewalks, or adjoining public property free from medical or hazardous waste"
22-2-17,Improper storage and separation of solid waste for collection day
22-2-83(a)(b)(c),"Dumping,  or deposting solid waste of five (5) cubic feet or more from any motor vehicle upon any public or private property or street"
22-2-49,Large movable or stationary containers; residential structures and commercial
22-2-88,"Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste"
22-2-56,Courville container left at curb early or improperly stored
22-2-23,Bulk solid waste deposited more than 24 hours before designated time
22-2-21(b),Failure to remove animal waste on public/private property
22-2-83,"Dumping, storing or depositing solid waste on any publicly-owned property, or private property or water, without a permit"
22-2-43,Improper placement of Courville container between collections
22-2-83a,"Dumping, storing or depositing medial or hazardous waste on any pubicly-owned property, or private property or water, without a permit"
22-2-61,Failing to secure City or Private solid waste collection containers and services
22-2-41,"Improper placement of courville containers at residential structures containing one, two, three or four household units"
22-2-44,Improper placement of Courville containers for collection-commercial or resident
22-2-16,Improperly stored or separated Solid Waste
22-2-84(a)(1)(2)(4),Failure to remove or cause to be removed any solid waste within 48 hours or placement; declare to be a public nuisance
22-2-87(a),"Failure to remove, or cause to be removed, and properly dispose of medical or hazardous waste before vacating private property or water"
9-1-36(a),Failure of owner to obtain certificate of compliance
9-1-36(c),"Failure of owner to post, maintain, or present certificate of compliance dwelling, building, or structure"
9-1-355,Failure of owner or occupant to maintain rodent and pest free condition one- or two- family dwelling or building
9-1-45,Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building
9-1-209,"Failure to maintain balcony, deck, porch, or stairway one- or two-family dwelling or commercial building"
9-1-104,Excessive weeds or plant growth one- or two-family dwelling or commercial Building
9-1-353(2),Failure of single-tenant in nonresidential structure to exterminate building
61-63.0100,Noncompliance/Grant Condition/BZA/BSE
61-63.0600,Failed To Secure Permit For Lawful Use Of Building
61-130.0000/130.0400,"Banner/ Sinage/ Antenna (B1,B2,SD1,SD2)"
61-63.0500,Failed To Secure Permit For Lawful Use Of Land
61-90.0100,"Other Non-Compliance with Land Use Requirements (B1,B2,B3,B4,B5,B6)"
61-47.0000/47.0108,Insufficient parking
9-1-103(C),Removal of snow and ice from sidewalks
22-2-38,"Depositing domestic or commercial solid waste in containers owned, assigned to, or contracted for, by other persons or premises"
22-2-91,Dumping or depositing solid waste from a motor vehicle
22-2-55,Improper location of containers for collection
9-1-102,Defective grading or drainage one- or two-family dwelling or commercial building
61-116.0100/32.0031,Open Storage/ Non-residential/ Debris (W1)
9-1-105,Rodent harborage one-or two-family dwelling or commercial building
61-102.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (M2)
61-101.0100/32.0066,Open Storage/ Non-residential/ Inoperable Vehicles (M1)
9-1-106,Defective or unapproved exhaust vent(s) or other means one- or tow-family dwelling or commercial building
9-1-108,Defective gate(s) one- or two-family dwelling or commercial building
9-1-110(a),Inoperable motor vehicle(s) one- or two-family dwelling or commercial building
9-1-101,Unlawful accumulation of solid waste one- or two-family dwelling or commercial building
61-81.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R1)
61-83.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R3)
61-82.0100/32.0066,Open Storage/ Residential/ Inoperable Vehicles (R2)
61-81.0100/45.0807,Open Storage/ Residential/ Commercial Vehicles (R1)
61-80.0100,"Open Storage/ Residential (R1,R2,R3,R4,R5,R6)"
61-80.0100,"Other Non-Compliance with Land Use Requirements (R1,R2,R3,R4,R5,R6)"
61-114.0100,Other Non-Compliance with Land Use Requirements (TM)
9-1-13,Failure to maintain vacant one- or two- family dwelling or building
9-1-206,Defective roof or drainage one- or two-family dwelling or commercial building
22-2-94,"Failure to transport and deliver scrap tires to proper disposal area or licensed transfer facility, or to use vehicle or container that does not leak or spill"
22-2-86,"Failure to remove, cause to be removed, and prevent the release or futher release, of medical or hazardous waste"
22-2-85,"Generating, disposing, storing, treating, processing, reprocessing or transporting hazardous waste without complying with Michigan Natural Resources Environmental Protection Act"
9-1-43(a) - (Dwelling),Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy
